energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,name,artist
0.575,0.109,99.415,0.131,0.0975,0.0,4,0.693,4,148800,-9.101,0.319,0,spotify:track:6cdFhxmBh6spVmS5uQmAXx,Joven Rey,Sosad.97
0.578,0.273,127.48,0.462,0.35,0.0,5,0.589,4,153789,-9.249,0.299,0,spotify:track:6quqFWuqhx2LUShAbSJmzb,BBS 2.2 (B2B2B),Israel B
0.667,0.131,126.949,0.0654,0.125,0.0,4,0.805,2,195591,-6.699,0.664,1,spotify:track:5jp7OmyfthXBM9e31a4KyQ,Mejor,Israel B
0.728,0.208,91.848,0.284,0.0867,0.0,4,0.719,2,194000,-6.434,0.332,1,spotify:track:3DtGkVAmRvhlYpEmfVDICa,100 problemas (feat. Foyone),FERNANDOCOSTA
0.598,0.0664,95.645,0.139,0.158,0.0,4,0.588,11,199596,-7.692,0.265,0,spotify:track:4SAy4v0GtZaRxSCvvzTJaO,Hasta Cuando,FERNANDOCOSTA
0.525,0.346,94.984,0.0599,0.108,0.0,4,0.752,7,200516,-6.297,0.638,0,spotify:track:07DoqjbBTFeFTlwaene7gk,Fumando Serio,FERNANDOCOSTA
0.675,0.389,93.621,0.105,0.314,0.0,4,0.588,9,154000,-7.005,0.962,0,spotify:track:0Ku3YuCgohtHEuwkzqD2A7,Oye,FERNANDOCOSTA
0.587,0.0775,90.027,0.21,0.118,0.0,4,0.783,10,144000,-7.37,0.502,1,spotify:track:7g723XabUKENr3DENYcS8u,Belfast (feat. InnerCut),Juancho Marqués
0.379,0.134,96.748,0.784,0.675,1.51e-06,4,0.665,2,226209,-14.351,0.116,1,spotify:track:1jx9ljlGXGrN1sIuEpBfnF,Felicidades,Delaossa
0.504,0.14,98.077,0.195,0.606,0.00567,4,0.742,1,110944,-8.596,0.494,1,spotify:track:0VhfZo2uwcWnQGExuOxNKq,Ojo de Halcón,Hoke
0.681,0.159,90.273,0.399,0.621,0.0,4,0.67,5,197333,-8.557,0.712,1,spotify:track:51kzHiwV2gqYOakB0HGh8d,Desamparados,Hoke
0.599,0.14,91.006,0.137,0.495,0.000528,4,0.715,1,150330,-7.125,0.537,0,spotify:track:5nVcYqS5FhyZlOMMPwfLNl,Medallones,Hoke
