valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release date,speechiness,tempo
0.367,2020,0.0187,"['Pop Smoke', 'A Boogie Wit da Hoodie']",0.905,190534,0.647,True,2r6OAV3WsYtXuXjvJ1lIDi,0,10,0.282,-5.065,0,Hello (feat. A Boogie Wit da Hoodie),78,2020-07-20,0.107,130.97
0.328,2020,0.772,['Zach Bryan'],0.464,221250,0.366,False,2QfX9Pdz3q66fN3kCXl0Js,1.58e-05,7,0.0949,-9.025,1,Revival,72,2020-05-08,0.047,78.846
0.298,2020,0.147,"['Rod Wave', 'Lil Baby']",0.874,235988,0.443,True,40TPiJpvwGIyvPjJMDTKfy,0,5,0.124,-9.628,0,Rags2Riches 2 (feat. Lil Baby),73,2020-08-07,0.241,118.004
0.776,2020,0.13,"['Dustin Lynch', 'Lauren Alaina']",0.394,170560,0.747,False,6NebrV4ZigAoXIRbe11hxh,0,8,0.0747,-4.446,1,Thinking 'Bout You (feat. Lauren Alaina),73,2020-01-17,0.0627,203.918
0.331,2020,0.18,['Gabby Barrett'],0.519,215141,0.552,False,3hLuHKzG1cmlRpq53ZVWd8,0,2,0.149,-5.023,1,The Good Ones,73,2020-06-19,0.0259,89.957
0.824,2020,0.402,['Bad Bunny'],0.9,170972,0.603,False,41wtwzCZkXwpnakmwJ239F,4.81e-06,2,0.134,-5.313,1,Si Veo a Tu Mamá,81,2020-02-29,0.0646,129.928
0.502,2020,0.6,['Taylor Swift'],0.593,294521,0.377,True,5kI4eCXXzyuIUXjQra0Cxi,0,0,0.0976,-8.761,1,betty,76,2020-07-24,0.0253,95.939
0.862,2020,0.415,['Victoria Monét'],0.768,51914,0.506,False,4rCuwgRRKaIiHlHDc8Bga6,0.0376,6,0.133,-8.913,1,We Might Even Be Falling In Love (Interlude),77,2020-08-07,0.165,77.1
0.508,2020,0.0706,"['Future', 'Drake']",0.676,237735,0.609,True,5yY9lUy8nbvjM1Uyo1Uqoc,0,2,0.152,-5.831,0,Life Is Good (feat. Drake),78,2020-01-10,0.481,142.037
0.679,2020,0.0123,['Dua Lipa'],0.793,183290,0.793,False,3PfIrDoz19wz7qK7tYeu62,0,11,0.0951,-4.521,0,Don't Start Now,83,2020-03-27,0.083,123.95
0.508,2020,0.389,['Mac Miller'],0.742,209440,0.553,True,2hwOoMtWPtTSSn6WHV7Vp5,0,8,0.0694,-8.98,1,Blue World,75,2020-01-17,0.419,84.931
